Id,Category
0,0
1,10
2,3
3,9
4,6
5,3
6,2
7,10
8,0
9,2
10,3
11,0
12,5
13,10
14,5
15,4
16,9
17,2
18,5
19,9
20,3
21,5
22,3
23,0
24,9
25,3
26,10
27,4
28,5
29,8
30,5
31,5
32,3
33,3
34,2
35,2
36,5
37,10
38,10
39,3
40,6
41,2
42,2
43,0
44,5
45,1
46,10
47,3
48,10
49,9
50,10
51,1
52,3
53,8
54,0
55,8
56,7
57,9
58,9
59,9
60,5
61,8
62,6
63,3
64,10
65,1
66,2
67,9
68,4
69,10
70,5
71,6
72,6
73,5
74,5
75,6
76,4
77,1
78,1
79,9
80,0
81,3
82,9
83,1
84,3
85,0
86,0
87,4
88,4
89,6
90,2
91,5
92,0
93,5
94,6
95,6
96,9
97,2
98,3
99,10
100,2
101,2
102,8
103,5
104,4
105,9
106,6
107,5
108,9
109,10
110,5
111,8
112,5
113,3
114,9
115,4
116,9
117,7
118,9
119,3
120,0
121,5
122,0
123,2
124,3
125,9
126,5
127,8
128,10
129,9
130,2
131,0
132,10
133,1
134,1
135,2
136,3
137,10
138,3
139,0
140,8
141,10
142,5
143,5
144,1
145,4
146,9
147,5
148,2
149,5
150,2
151,4
152,7
153,10
154,10
155,2
156,1
157,2
158,8
159,2
160,5
161,8
162,5
163,0
164,8
165,5
166,8
167,8
168,3
169,9
170,8
171,2
172,4
173,4
174,1
175,2
176,2
177,10
178,8
179,7
180,4
181,8
182,9
183,6
184,10
185,9
186,5
187,2
188,0
189,4
190,7
191,3
192,1
193,4
194,0
195,4
196,8
197,9
198,0
199,1
200,9
201,8
202,8
203,7
204,4
205,9
206,7
207,9
208,10
209,9
210,8
211,2
212,10
213,8
214,1
215,2
216,10
217,2
218,9
219,5
220,4
221,2
222,5
223,7
224,5
225,5
226,1
227,9
228,7
229,3
230,4
231,9
232,7
233,8
234,1
235,8
236,9
237,10
238,4
239,9
240,2
241,3
242,0
243,4
244,2
245,5
246,2
247,9
248,10
249,9
250,9
251,3
252,2
253,0
254,5
255,0
256,0
257,9
258,0
259,0
260,8
261,1
262,10
263,10
264,5
265,9
266,1
267,3
268,0
269,9
270,9
271,3
272,10
273,4
274,2
275,1
276,9
277,10
278,2
279,0
280,9
281,9
282,2
283,3
284,10
285,0
286,2
287,4
288,2
289,10
290,9
291,4
292,1
293,10
294,9
295,6
296,7
297,0
298,10
299,5
300,2
301,2
302,2
303,1
304,0
305,10
306,10
307,8
308,9
309,4
310,1
311,0
312,7
313,8
314,2
315,8
316,7
317,0
318,7
319,1
320,1
321,2
322,0
323,0
324,4
325,3
326,5
327,6
328,10
329,4
330,8
331,0
332,10
333,9
334,1
335,9
336,3
337,3
338,5
339,10
340,9
341,6
342,5
343,3
344,3
345,5
346,3
347,6
348,4
349,9
350,6
351,8
352,6
353,2
354,0
355,1
356,3
357,10
358,10
359,9
360,1
361,5
362,10
363,6
364,3
365,5
366,0
367,10
368,2
369,4
370,9
371,4
372,2
373,10
374,0
375,3
376,9
377,9
378,1
379,5
380,10
381,7
382,2
383,9
384,3
385,0
386,9
387,10
388,10
389,3
390,1
391,0
392,10
393,10
394,9
395,3
396,8
397,8
398,10
399,9
400,9
401,2
402,1
403,4
404,7
405,8
406,10
407,8
408,5
409,4
410,9
411,6
412,3
413,7
414,3
415,7
416,5
417,5
418,1
419,9
420,5
421,10
422,8
423,5
424,3
425,8
426,9
427,6
428,9
429,2
430,9
431,2
432,2
433,5
434,3
435,2
436,8
437,10
438,1
439,1
440,10
441,4
442,9
443,2
444,2
445,3
446,0
447,10
448,0
449,2
450,4
451,9
452,3
453,2
454,6
455,6
456,5
457,4
458,8
459,10
460,10
461,9
462,10
463,10
464,1
465,1
466,7
467,7
468,9
469,0
470,5
471,3
472,8
473,8
474,9
475,0
476,6
477,1
478,0
479,6
480,0
481,5
482,3
483,1
484,10
485,4
486,9
487,9
488,5
489,9
490,3
491,10
492,7
493,2
494,5
495,5
496,4
497,1
498,9
499,10
500,7
501,1
502,6
503,1
504,0
505,7
506,6
507,8
508,10
509,10
510,2
511,6
512,9
513,9
514,3
515,2
516,9
517,9
518,5
519,3
520,2
521,8
522,7
523,1
524,8
525,2
526,2
527,9
528,6
529,0
530,4
531,1
532,4
533,9
534,0
535,10
536,3
537,2
538,8
539,10
540,2
541,1
542,7
543,0
544,9
545,1
546,3
547,5
548,3
549,10
550,2
551,2
552,7
553,5
554,4
555,3
556,3
557,1
558,6
559,2
560,1
561,1
562,2
563,8
564,5
565,4
566,5
567,1
568,5
569,3
570,5
571,5
572,2
573,5
574,2
575,2
576,9
577,7
578,4
579,3
580,2
581,5
582,5
583,9
584,3
585,6
586,10
587,2
588,7
589,8
590,9
591,10
592,4
593,5
594,1
595,9
596,6
597,3
598,4
599,10
600,5
601,10
602,3
603,6
604,2
605,9
606,9
607,4
608,5
609,3
610,5
611,9
612,5
613,8
614,5
615,10
616,3
617,9
618,3
619,9
620,7
621,3
622,4
623,5
624,4
625,0
626,3
627,2
628,3
629,7
630,10
631,0
632,2
633,2
634,2
635,10
636,9
637,1
638,8
639,3
640,10
641,0
642,1
643,1
644,0
645,7
646,6
647,9
648,0
649,3
650,7
651,10
652,8
653,10
654,0
655,5
656,5
657,8
658,9
659,2
660,1
661,6
662,0
663,4
664,9
665,1
666,0
667,5
668,9
669,0
670,7
671,9
672,3
673,2
674,5
675,9
676,3
677,2
678,5
679,7
680,1
681,2
682,5
683,5
684,1
685,7
686,10
687,0
688,10
689,7
690,1
691,9
692,3
693,5
694,0
695,8
696,7
697,0
698,3
699,9
700,9
701,2
702,10
703,0
704,0
705,10
706,8
707,7
708,5
709,9
710,9
711,8
712,6
713,1
714,0
715,3
716,4
717,0
718,4
719,9
720,10
721,6
722,4
723,10
724,9
725,4
726,5
727,3
728,5
729,4
730,5
731,7
732,8
733,6
734,0
735,3
736,3
737,2
738,8
739,7
740,3
741,7
742,8
743,3
744,7
745,5
746,2
747,9
748,6
749,8
750,5
751,1
752,8
753,5
754,5
755,3
756,8
757,10
758,9
759,10
760,2
761,8
762,2
763,5
764,8
765,2
766,2
767,9
768,2
769,10
770,5
771,4
772,0
773,2
774,6
775,1
776,8
777,5
778,10
779,4
780,9
781,6
782,4
783,2
784,8
785,8
786,4
787,0
788,8
789,10
790,2
791,8
792,7
793,9
794,7
795,2
796,9
797,2
798,8
799,2
800,1
801,2
802,4
803,8
804,0
805,4
806,10
807,8
808,10
809,3
810,9
811,9
812,0
813,7
814,8
815,4
816,2
817,9
818,0
819,3
820,8
821,8
822,9
823,10
824,4
825,3
826,0
827,3
828,9
829,0
830,0
831,2
832,8
833,9
834,10
835,6
836,2
837,3
838,8
839,3
840,5
841,10
842,3
843,3
844,3
845,2
846,4
847,10
848,3
849,3
850,5
851,1
852,4
853,3
854,10
855,10
856,10
857,10
858,0
859,5
860,1
861,0
862,0
863,3
864,1
865,9
866,2
867,10
868,8
869,4
870,2
871,7
872,5
873,9
874,9
875,3
876,5
877,9
878,5
879,10
880,5
881,5
882,9
883,6
884,4
885,9
886,0
887,4
888,10
889,4
890,6
891,3
892,5
893,9
894,6
895,2
896,1
897,5
898,4
899,9
900,6
901,10
902,1
903,3
904,0
905,1
906,7
907,5
908,9
909,9
910,10
911,7
912,9
913,2
914,0
915,3
916,5
917,1
918,1
919,5
920,9
921,3
922,8
923,9
924,9
925,2
926,3
927,1
928,4
929,9
930,9
931,2
932,9
933,0
934,0
935,1
936,1
937,2
938,9
939,1
940,9
941,5
942,3
943,10
944,7
945,10
946,7
947,1
948,10
949,1
950,4
951,1
952,9
953,9
954,1
955,2
956,6
957,7
958,2
959,6
960,1
961,3
962,7
963,1
964,2
965,3
966,2
967,5
968,3
969,4
970,10
971,9
972,8
973,5
974,0
975,2
976,7
977,6
978,5
979,1
980,0
981,7
982,9
983,9
984,7
985,1
986,5
987,5
988,10
989,9
990,5
991,7
992,5
993,7
994,2
995,7
996,4
997,2
998,9
999,4
1000,9
1001,5
1002,10
1003,7
1004,1
1005,7
1006,2
1007,2
1008,1
1009,2
1010,5
1011,0
1012,6
1013,2
1014,0
1015,10
1016,4
1017,5
1018,10
1019,9
1020,8
1021,9
1022,5
1023,8
1024,9
1025,5
1026,10
1027,4
1028,10
1029,5
1030,10
1031,4
1032,6
1033,3
1034,0
1035,10
1036,8
1037,5
1038,10
1039,8
1040,9
1041,8
1042,1
1043,9
1044,0
1045,3
1046,1
1047,5
1048,4
1049,9
1050,1
1051,3
1052,9
1053,3
1054,8
1055,6
1056,9
1057,5
1058,3
1059,9
1060,10
1061,10
1062,5
1063,10
1064,9
1065,5
1066,4
1067,10
1068,9
1069,9
1070,9
1071,6
1072,0
1073,2
1074,10
1075,2
1076,2
1077,5
1078,10
1079,10
1080,9
1081,5
1082,7
1083,4
1084,4
1085,3
1086,1
1087,0
1088,1
1089,0
1090,1
1091,10
1092,3
1093,6
1094,8
1095,1
1096,10
1097,10
1098,3
1099,7
1100,1
1101,1
1102,5
1103,4
1104,6
1105,9
1106,9
1107,10
1108,8
1109,9
1110,5
1111,9
1112,5
1113,2
1114,6
1115,3
1116,10
1117,5
1118,5
1119,6
1120,6
1121,9
1122,7
1123,3
1124,2
1125,9
1126,6
1127,3
1128,1
1129,4
1130,1
1131,4
1132,8
1133,1
1134,8
1135,2
1136,0
1137,4
1138,0
1139,7
1140,8
1141,3
1142,9
1143,5
1144,2
1145,2
1146,9
1147,10
1148,2
1149,10
1150,3
1151,2
1152,1
1153,0
1154,2
1155,9
1156,5
1157,3
1158,2
1159,1
1160,10
1161,8
1162,1
1163,9
1164,5
1165,8
1166,0
1167,5
1168,0
1169,5
1170,4
1171,2
1172,6
1173,2
1174,8
1175,0
1176,10
1177,1
1178,0
1179,4
1180,1
1181,6
1182,1
1183,8
1184,1
1185,10
1186,6
1187,3
1188,5
1189,9
1190,7
1191,4
1192,5
1193,6
1194,10
1195,3
1196,0
1197,5
1198,0
1199,1
1200,2
1201,0
1202,3
1203,3
1204,8
1205,5
1206,10
1207,9
1208,9
1209,3
1210,9
1211,8
1212,5
1213,10
1214,5
1215,8
1216,8
1217,10
1218,0
1219,9
1220,10
1221,5
1222,4
1223,1
1224,0
1225,6
1226,10
1227,6
1228,1
1229,4
1230,0
1231,4
1232,10
1233,10
1234,5
1235,4
1236,4
1237,3
1238,4
1239,9
1240,2
1241,5
1242,8
1243,9
1244,9
1245,8
1246,4
1247,5
1248,3
1249,5
1250,8
1251,9
1252,10
1253,5
1254,5
1255,10
1256,4
1257,10
1258,5
1259,1
1260,0
1261,0
1262,0
1263,0
1264,4
1265,9
1266,5
1267,10
1268,8
1269,8
1270,2
1271,2
1272,0
1273,0
1274,0
1275,3
1276,5
1277,0
1278,10
1279,2
1280,2
1281,1
1282,9
1283,5
1284,3
1285,4
1286,1
1287,9
1288,10
1289,0
1290,5
1291,8
1292,5
1293,5
1294,0
1295,9
1296,2
1297,0
1298,9
1299,8
1300,9
1301,8
1302,5
1303,4
1304,3
1305,0
1306,0
1307,1
1308,2
1309,8
1310,5
1311,3
1312,2
1313,1
1314,2
1315,3
1316,0
1317,8
1318,5
1319,10
1320,8
1321,2
1322,3
1323,6
1324,10
1325,5
1326,0
1327,4
1328,4
1329,3
1330,10
1331,4
1332,0
1333,1
1334,5
1335,4
1336,8
1337,2
1338,4
1339,1
1340,10
1341,8
1342,4
1343,8
1344,3
1345,7
1346,2
1347,7
1348,2
1349,4
1350,3
1351,5
1352,8
1353,3
1354,0
1355,3
1356,5
1357,6
1358,2
1359,9
1360,0
1361,9
1362,5
1363,8
1364,10
1365,7
1366,0
1367,5
1368,9
1369,9
1370,8
1371,9
1372,4
1373,3
1374,9
1375,4
1376,10
1377,8
1378,4
1379,8
1380,4
1381,1
1382,9
1383,3
1384,5
1385,4
1386,4
1387,8
1388,9
1389,8
1390,10
1391,5
1392,2
1393,5
1394,8
1395,2
1396,10
1397,2
1398,8
1399,1
1400,1
1401,9
1402,9
1403,5
1404,9
1405,4
1406,9
1407,4
1408,8
1409,2
1410,3
1411,4
1412,6
1413,2
1414,8
1415,2
1416,10
1417,0
1418,8
1419,5
1420,6
1421,6
1422,2
1423,2
1424,10
1425,8
1426,0
1427,0
1428,5
1429,1
1430,0
1431,7
1432,8
1433,5
1434,8
1435,6
1436,5
1437,6
1438,5
1439,5
1440,9
1441,1
1442,4
1443,8
1444,10
1445,2
1446,2
1447,10
1448,3
1449,0
1450,3
1451,4
1452,4
1453,9
1454,10
1455,7
1456,9
1457,3
1458,1
1459,0
1460,2
1461,0
1462,2
1463,2
1464,4
1465,5
1466,8
1467,9
1468,1
1469,2
1470,2
1471,1
1472,2
1473,5
1474,0
1475,10
1476,9
1477,4
1478,8
1479,6
1480,9
1481,0
1482,9
1483,9
1484,1
1485,5
1486,4
1487,3
1488,7
1489,3
1490,2
1491,8
1492,5
1493,5
1494,10
1495,9
1496,9
1497,2
1498,4
1499,10
1500,3
1501,0
1502,8
1503,2
1504,0
1505,9
1506,9
1507,0
1508,8
1509,5
1510,0
1511,10
1512,3
1513,3
1514,5
1515,1
1516,10
1517,5
1518,8
1519,2
1520,5
1521,7
1522,6
1523,2
1524,4
1525,5
1526,6
1527,4
1528,5
1529,3
1530,10
1531,2
1532,0
1533,2
1534,6
1535,1
1536,0
1537,5
1538,1
1539,2
1540,9
1541,6
1542,4
1543,7
1544,6
1545,7
1546,9
1547,10
1548,10
1549,4
1550,2
1551,8
1552,6
1553,1
1554,6
1555,1
1556,5
1557,5
1558,7
1559,9
1560,3
1561,8
1562,3
1563,9
1564,7
1565,6
1566,9
1567,7
1568,2
1569,1
1570,3
1571,5
1572,10
1573,10
1574,10
1575,4
1576,7
1577,1
1578,1
1579,7
1580,9
1581,0
1582,2
1583,9
1584,8
1585,0
1586,4
1587,5
1588,1
1589,9
1590,8
1591,10
1592,9
1593,10
1594,8
1595,4
1596,0
1597,7
1598,3
1599,10
1600,2
1601,4
1602,2
1603,1
1604,8
1605,8
1606,3
1607,4
1608,0
1609,0
1610,3
1611,6
1612,9
1613,9
1614,3
1615,0
1616,0
1617,2
1618,0
1619,8
1620,8
1621,0
1622,9
1623,8
1624,10
1625,10
1626,9
1627,3
1628,3
1629,1
1630,0
1631,8
1632,8
1633,9
1634,3
1635,3
1636,3
1637,3
1638,5
1639,1
1640,5
1641,1
1642,5
1643,0
1644,3
1645,2
1646,1
1647,4
1648,1
1649,10
1650,0
1651,5
1652,5
1653,7
1654,9
1655,10
1656,1
1657,3
1658,5
1659,1
1660,0
1661,4
1662,1
1663,5
1664,0
1665,0
1666,10
1667,0
1668,3
1669,4
1670,0
1671,2
1672,7
1673,5
1674,9
1675,3
1676,5
1677,7
1678,5
1679,3
1680,1
1681,5
1682,4
1683,3
1684,5
1685,10
1686,2
1687,3
1688,8
1689,10
1690,5
1691,2
1692,0
1693,9
1694,5
1695,9
1696,8
1697,8
1698,9
1699,2
1700,0
1701,9
1702,8
1703,7
1704,5
1705,8
1706,0
1707,10
1708,4
1709,6
1710,4
1711,10
1712,5
1713,9
1714,4
1715,2
1716,10
1717,5
1718,9
1719,5
1720,3
1721,7
1722,4
1723,4
1724,9
1725,1
1726,3
1727,10
1728,3
1729,3
1730,1
1731,2
1732,9
1733,2
1734,0
1735,7
1736,3
1737,6
1738,3
1739,10
1740,8
1741,6
1742,9
1743,9
1744,10
1745,0
1746,2
1747,2
1748,9
1749,8
1750,0
1751,5
1752,10
1753,6
1754,1
1755,5
1756,3
1757,9
1758,5
1759,1
1760,3
1761,4
1762,2
1763,7
1764,3
1765,9
1766,2
1767,5
1768,4
1769,5
1770,5
1771,8
1772,10
1773,8
1774,4
1775,5
1776,10
1777,9
1778,3
1779,1
1780,3
1781,8
1782,5
1783,9
1784,9
1785,7
1786,0
1787,8
1788,4
1789,9
1790,8
1791,1
1792,2
1793,3
1794,2
1795,9
1796,5
1797,8
1798,5
1799,1
1800,9
1801,1
1802,0
1803,8
1804,6
1805,1
1806,9
1807,5
1808,9
1809,4
1810,6
1811,4
1812,4
1813,9
1814,10
1815,2
1816,7
1817,4
1818,8
1819,10
1820,9
1821,10
1822,2
1823,9
1824,7
1825,2
1826,1
1827,9
1828,9
1829,2
1830,5
1831,2
1832,2
1833,2
1834,6
1835,3
1836,3
1837,9
1838,9
1839,2
1840,0
1841,4
1842,9
1843,8
1844,8
1845,5
1846,0
1847,2
1848,3
1849,1
1850,2
1851,5
1852,7
1853,8
1854,7
1855,1
1856,6
1857,7
1858,1
1859,6
1860,5
1861,1
1862,1
1863,4
1864,8
1865,0
1866,4
1867,5
1868,1
1869,3
1870,1
1871,5
1872,0
1873,10
1874,5
1875,10
1876,8
1877,4
1878,0
1879,6
1880,8
1881,8
1882,5
1883,2
1884,4
1885,0
1886,9
1887,0
1888,10
1889,1
1890,4
1891,1
1892,9
1893,7
1894,2
1895,0
1896,3
1897,9
1898,0
1899,0
1900,0
1901,9
1902,3
1903,6
1904,10
1905,2
1906,4
1907,5
1908,1
1909,7
1910,10
1911,9
1912,3
1913,3
1914,9
1915,9
1916,5
1917,2
1918,8
1919,3
1920,8
1921,5
1922,10
1923,3
1924,4
1925,5
